Movie_Name,Director,Year,Jump_Count,Jump_Scare_Rating,On_Netflix_US,IMDB_Rating
The Forest,Jason Zada,2016,13,3.5,No,4.8
Aliens,James Cameron,1986,13,3,No,8.4
Devil's Due,"Matt Bettinelli-Olpin, Tyler Gillett",2014,13,3,No,4.1
Disturbia,D.J. Caruso,2007,13,3,No,6.9
Dog Soldiers,Neil Marshall,2002,13,3,No,6.8
Fear Clinic,Robert Hall,2014,13,3,No,5.6
Leatherface,"Alexandre Bustillo, Julien Maury",2017,13,3,No,5.2
Pay The Ghost,Uli Edel,2015,13,3,No,5.2
The Bye Bye Man,Stacy Title,2017,13,3,No,4.3
The Cabin In The Woods,Drew Goddard,2012,13,3,No,7
The People Under the Stairs,Wes Craven,1991,13,3,No,6.3
The Purge: Anarchy,James DeMonaco,2014,13,3,No,6.5
Wind Chill,Gregory Jacobs,2007,13,3,No,5.9
Wrong Turn,Rob Schmidt,2003,13,3,No,6.1
Halloween,John Carpenter,1978,13,2.5,No,7.9
Shaun of the Dead,Edgar Wright,2004,13,2.5,No,8
Grave Encounters,"Colin Minihan, Stuart Ortiz",2011,12,4,No,6.1
The Conjuring,James Wan,2013,12,4,Yes,7.5
Attack the Block,Joe Cornish,2011,12,3,No,6.6
Extinction,Miguel Ángel Vivas,2015,12,3,No,5.8
Ghost Ship,Steve Beck,2002,12,3,Yes,5.5
Orphan,Jaume Collet-Serra,2009,12,3,No,7
Slumber,Jonathan Hopkins,2017,12,3,No,4.9
The Autopsy of Jane Doe,André Øvredal,2016,12,3,Yes,6.8
The Borderlands (Final Prayer),Elliot Goldner,2013,12,3,No,5.7
The Pact,Nicholas McCarthy,2012,12,3,No,5.8
The Purge,James DeMonaco,2013,12,3,No,5.6
The Veil,Phil Joanou,2016,12,3,Yes,4.7
We Are Still Here,Ted Geoghegan,2015,12,3,No,5.7
Alien 3,David Fincher,1992,12,2.5,No,6.4
Overlord,Julius Avery,2018,12,2.5,No,7.1
Vacancy,Nimród Antal,2007,12,2.5,No,6.2
Shutter,"Banjong Pisanthanakun, Parkpoom Wongpoom",2004,11,4,Yes,7.1
Annabelle,John R. Leonetti,2014,11,3.5,No,5.4
Jeepers Creepers,Victor Salva,2001,11,3.5,No,6.1
[Rec],"Jaume Balagueró, Paco Plaza",2007,11,3.5,No,7.5
47 Meters Down,Johannes Roberts,2017,11,3,Yes,5.7
Amityville: The Awakening,Franck Khalfoun,2017,11,3,No,5.2
Clown,Jon Watts,2014,11,3,No,5.6
Dreamcatcher,Lawrence Kasdan,2003,11,3,No,5.5
Event Horizon,Paul W.S. Anderson,1997,11,3,No,6.7
House,Steve Miner,1986,11,3,No,6.2
The Babadook,Jennifer Kent,2014,11,3,No,6.9
The Boy,William Brent Bell,2016,11,3,Yes,6
The Faculty,Robert Rodriguez,1998,11,3,No,6.4
The Monster,Bryan Bertino,2016,11,3,Yes,5.4
